code,name,old_code,old_name,hex
120,Black,120,Black,#070308
B015,Celadon Blue,B090,Pebble Blue,#1478b7
B02,Light Minty Blue,BG4,Mint Blue,#b2f9fd
B03,Frost,B030,Frost Blue,#b9fdfe
B05,Robin Egg Blue,B050,Robin's Egg Blue,#a3f3fd
B06,Light Cerulean,B110,Crystal Blue,#78cffc
B08,Cotton Candy Blue,PB7,Pastel Blue,#63d7fb
B09,Tahitian Blue,B070,Tahitian Blue,#43bdf9
B111,Pool Blue,PB8,Cerulean Blue,#2197e4
B112,Process Blue,B080,Process Blue,#2996ec
B114,Cerulean Blue,B64,Indian Blue,#084c92
B115,Classic Blue,PB6,Royal Blue,#1052a8
B21,Porcelain Blue,MG020,Blue Grey 02,#d2f0fc
B27,Fog Blue,MG030,Blue Grey 03,#a9d3eb
B28,Smoke Blue,B250,Light Blue,#87b9df
B310,Blue Dusk,BG II 03,Blue Grey II 3,#81a4bb
B311,Stone Blue,MG060,Blue Grey 06,#6792b2
B315,Deep Cerulean,PB11,Marine Blue,#1d4363
B411,Rich Slate Blue,BG II 05,Blue Grey II 5,#466381
B412,Gunmetal Blue,MG100,Blue Grey 09,#223c59
B415,Stormy Night,BG II 09,Blue Grey II 9,#060b23
BG011,Teal,G500,Peacock Blue,#1b8ca0
BG04,Sea Spray,G322,Pale Aqua Mint,#91eaf2
BG05,Light Sea Blue,BG68,Turquoise Blue,#87edf7
BG09,Aquamarine,G326,Bright Blue,#5fd3dc
BG114,Faded Teal,PB9,Cloud Blue,#2c8294
BG19,Sea Blue,G324,Aqua Blue,#5bb6bb
BG21,Mint Whisp,G320,Jade Green,#d0fdf5
BG211,Spearmint,G360,Pond Green,#56c6a1
BG212,Bright Pine Green,G4,Mint Green Light,#28a280
BG215,Dark Pine Green,BG8,Teal,#347c69
BG24,Sea Glass Blue,G420,Green Shadow,#98daba
BG310,Seafoam Green,G340,Horizon Green,#8eeadd
BG311,Turquoise,PB10,Turquoise Green Light,#38b59c
BG314,Peacock Green,BG6,Peacock Green,#0c7062
BG315,Castleton Green,BG7,Forest Green,#0c5949
BGY00,Cashmere Grey,BG050,Cool Grey 05,#b9c0d1
BGY02,Pigeon Grey,BG9,Pigeon Blue,#9aacbc
BGY13,Seagull Grey,GG060,Green Grey 06,#5c6671
BGY15,Blue Steel Grey,GG5,Green Gray 5,#465260
BGY18,Graphite Grey,GG9,Green Grey 9,#0c0a13
BGY24,Storm Grey,CG II 07,Cool Grey II 7,#2f3348
BGY25,Cracked Pepper,CG II 08,Cool Grey II 8,#2b3045
BGY35,Iron Grey,CG II 09,Cool Grey II 9,#06050d
BGY38,Charcoal Grey,NG09,Neutral Grey 9,#030105
BV013,French Ultramarine,B380,Capri Blue,#262ecc
BV015,Deep Ultramarine,B440,Cyanine Blue,#050386
BV05,Cornflower,B340,Lavender Blue,#8db1fb
BV08,Havelock Blue,B350,Cornflower Blue,#5a7ad9
BV115,Shadow Blue,V450,Dark Lavender,#3f3b67
BV15,Dusty Periwinkle,V340,Lavender Blue,#9da1c8
BV210,Blueberry,V390,Dark Slate Blue,#1e208d
BV26,Pale Blue Violet,R25,Pale Blue Violet,#99a3e7
BV28,Bluebonnet,V370,Blue Bell,#4e5ccb
BV29,Iris,R13,Clematis,#203a8f
BV31,Cloud Blue,BG3,Blue Grey 3,#dff7fc
BV310,Brilliant Blue,PB2,Brilliant Blue,#1947b1
BV311,Royal Blue,B180,Vienna Blue,#134bc6
BV312,Deep Royal Blue,B190,Ultramarine,#0c2ec2
BV314,Lapis Lazuli,PB3,Cobalt Blue,#102c85
BV315,Cobalt Blue,PB4,Napoleon Blue,#081e6f
BV32,Pale Sky Blue,B220,Pale Grayish Blue,#c6eafd
